Regione,Popolazione,Giornate Degenza,Posti Letto
Piemonte,4256350,3880990,19199
Valle D'Aosta,123360,123180,526
Lombardia,9943004,8333386,41852
Trentino Alto Adige,1073574,950648,4065
Veneto,4847745,4055501,15950
Friuli Venezia Giulia,1194647,959912,4083
Liguria,1509227,1399128,5139
Emilia Romagna,4425366,4437804,16447
Toscana,3663191,2605051,10517
Umbria,858812,729014,2873
Marche,1487150,1170084,5515
Lazio,5714882,4684164,20914
Abruzzo,1275950,1013432,4210
Molise,292150,229960,934
Campania,5624420,3352408,16487
Puglia,3922941,2724176,13792
Basilicata,541168,363270,1715
Calabria,1855454,1052116,5126
Sicilia,4833329,3315606,15070
Sardegna,1479517,1147994,5154
